UUID,REVIEW,LABEL,TAG,VERSION,TIMESTAMP
381406af-4ce4-4223-b7b0-2e514dff2e37,fine,0,TRAIN,v1.0.0,2019-08-23 17:00:00
569542cc-7046-48dc-a29f-d4155a672aac,sedikit membantu dan menghilangkan kekhawatiran,0,TRAIN,v1.0.0,2019-08-23 17:00:00
fcfa3a8d-0839-4008-ae5e-dadc6ad589c7,penyampaiannya mudah dipahami,0,TRAIN,v1.0.0,2019-08-23 17:00:00
84865b14-af89-4955-a434-1ee93bd2b223,terima kasih dokter lain waktu saya akan bertanya lagi tentang kehamilanku,0,TRAIN,v1.0.0,2019-08-23 17:00:00
efefe2cc-d80c-46da-b285-41490e8ec9d5,terrima kasih,0,TRAIN,v1.0.0,2019-08-23 17:00:00
c49a2892-d1be-4c5c-9c5e-af8c9be76e87,gercep banget jawabnya saya suka,0,TRAIN,v1.0.0,2019-08-23 17:00:00
d87644da-a53b-4a23-883b-e083d780f329,saya puas bertanya disini,0,TRAIN,v1.0.0,2019-08-23 17:00:00
49179f91-759b-4cfc-882a-288149c11535,dokter komunikatif,0,TRAIN,v1.0.0,2019-08-23 17:00:00
f10984a6-6845-4d34-b792-0d43dee26185,rekomen dokter,0,TRAIN,v1.0.0,2019-08-23 17:00:00
34751340-44ac-41bb-91d6-c9aefc70ab6e,bagus membantu,0,TRAIN,v1.0.0,2019-08-23 17:00:00
c48d641d-52f0-4590-8716-b97761a492b5,cara jawabnya bagus,0,TRAIN,v1.0.0,2019-08-23 17:00:00
67ccc501-b7a9-452c-ac87-0d37b4d99bfa,kemren sangat membantu,0,TRAIN,v1.0.0,2019-08-23 17:00:00
3dcf1594-0b2d-4cda-8f6d-01b0238738f5,friendly,0,TRAIN,v1.0.0,2019-08-23 17:00:00
681e2524-a016-45ee-8367-0fb3057bd4f4,respon cepat jawaban tepat,0,TRAIN,v1.0.0,2019-08-23 17:00:00
d33f565f-aebc-4dda-8dd0-795291d981ab,nice respon,0,TRAIN,v1.0.0,2019-08-23 17:00:00
c8fc135c-ea76-4689-b470-c6d51978ad7d,sangat membantu banget dan enggak sembarangan minum obat penurun berat badan,0,TRAIN,v1.0.0,2019-08-23 17:00:00
bf926bd9-1466-46fa-8386-ca57309c3dfc,dokter menjelaskan dengan jelas sehingga mudah dipahami dan komunikasi,0,TRAIN,v1.0.0,2019-08-23 17:00:00
9e6aa19c-04db-4f6a-9963-294c123254e6,puas bisa tanya tanya,0,TRAIN,v1.0.0,2019-08-23 17:00:00
d588b1fb-ec88-4b7e-b9b6-17bbb9ffdf9e,responsible,0,TRAIN,v1.0.0,2019-08-23 17:00:00
85e73aac-c070-42a4-b13e-25308091b8bf,terima kasih dokter ganteng,0,TRAIN,v1.0.0,2019-08-23 17:00:00
dc2ca00c-6f2b-44b7-a563-0a2f9ee21cc6,thank you dok,0,TRAIN,v1.0.0,2019-08-23 17:00:00
de26df72-5c66-447b-8cbe-8b33d80f7599,saya suka,0,TRAIN,v1.0.0,2019-08-23 17:00:00
db135a5c-b5f1-4029-96cc-a217a6024478,baru kali ini pertanyaan saya dijawab oleh dokter yang sangat komunikasi,0,TRAIN,v1.0.0,2019-08-23 17:00:00
33ce666f-2c30-4f34-9016-5ce3d8f7d4c5,fast respond banget,0,TRAIN,v1.0.0,2019-08-23 17:00:00
b77d07d6-92de-4914-8577-ee8cfa601c4d,the best begitulah pokoknya,0,TRAIN,v1.0.0,2019-08-23 17:00:00
a193b2bb-7a0e-4df3-a81e-4184dee529be,responnya cepat dan baik juga,0,TRAIN,v1.0.0,2019-08-23 17:00:00
2bbd2d02-6091-4627-91d9-a4cdb51b121d,mantap infonya,0,TRAIN,v1.0.0,2019-08-23 17:00:00
8f5d949d-e4d9-4f30-af59-acba5259f687,best dokter ini,0,TRAIN,v1.0.0,2019-08-23 17:00:00
54362d29-b874-4a37-848a-799e5f8f178f,terima kasih ya,0,TRAIN,v1.0.0,2019-08-23 17:00:00
ca437375-7319-4a17-bac7-de87c7b65ba7,ramah dan cepat memberi respon,0,TRAIN,v1.0.0,2019-08-23 17:00:00
5b43bf9f-2dfb-40ad-8226-7ec7ea5470e5,membantu banget di posisi seperti saya,0,TRAIN,v1.0.0,2019-08-23 17:00:00
37616898-6894-4a3c-b55b-6d35a8936850,membantu banget jika belum ada waktu renggang untuk pergi ke klinik atau rumah sakit,0,TRAIN,v1.0.0,2019-08-23 17:00:00
fa69f510-0bf8-41bf-8096-61ca602108b6,responnya agak lama waktu itu,0,TRAIN,v1.0.0,2019-08-23 17:00:00
6a25d237-e626-46cb-9754-9f7bc050fa3a,dokternya tidak pelit pendapat biasanya dokter lain baru 1 kali 2 kali chat sudah di close,0,TRAIN,v1.0.0,2019-08-23 17:00:00
858479b7-fbfa-4821-a744-7a7dc9e5ea59,sama sama dok,0,TRAIN,v1.0.0,2019-08-23 17:00:00
6a946519-b679-4fc2-add6-44d0e696f0a6,saya suka respon yang baik,0,TRAIN,v1.0.0,2019-08-23 17:00:00
432cebcd-bca5-4578-b9e4-05cd49ea4914,jawabnya lumayan,0,TRAIN,v1.0.0,2019-08-23 17:00:00
cec468ff-6ae0-497f-8c10-939d511d2073,lumayan,0,TRAIN,v1.0.0,2019-08-23 17:00:00
3d7c020d-d1f6-4d7d-9e9a-f12d9455d53a,menakjubkan,0,TRAIN,v1.0.0,2019-08-23 17:00:00
f1deea58-eca7-4d36-811a-ec5ab9292dbf,thanks dok saranny,0,TRAIN,v1.0.0,2019-08-23 17:00:00
4516001b-ec80-4875-960e-f432c22eddcc,cara bicaranya sopan,0,TRAIN,v1.0.0,2019-08-23 17:00:00
0b887c36-443d-4dbf-a1c0-b80ad71897d4,ya bagus,0,TRAIN,v1.0.0,2019-08-23 17:00:00
a8327ace-49ee-45e5-a9c3-a87d1a4959db,dijawab dengan cepat,0,TRAIN,v1.0.0,2019-08-23 17:00:00
e26d5101-f715-4eb5-98f5-e3d9c11d2de6,puas sih dan mengerti,0,TRAIN,v1.0.0,2019-08-23 17:00:00
6cbe9dde-6e20-413c-8539-75290c9f4ee8,jempol 1000,0,TRAIN,v1.0.0,2019-08-23 17:00:00
bdc38a7a-0818-44a0-aa2a-f3f30e7803fd,boleh juga tuh,0,TRAIN,v1.0.0,2019-08-23 17:00:00
f2bc5a7c-ddb8-4d45-a229-4ec00d341912,oke deh,0,TRAIN,v1.0.0,2019-08-23 17:00:00
cf73aba8-4617-44ec-8fd2-e0e72c259aa3,manis,0,TRAIN,v1.0.0,2019-08-23 17:00:00
374ec23d-1dd3-471c-a5c3-6c0fc6b7056e,terima kasih dok penjelasannya sangat rinci dan mudah dipahami,0,TRAIN,v1.0.0,2019-08-23 17:00:00
51fd9211-0707-4afb-9956-8e7eba75df09,ternyata saya cuma sakit maag terima kasih dokter,0,TRAIN,v1.0.0,2019-08-23 17:00:00
053905a3-77d2-401b-afc6-7e56a827613c,sangat bermanfaat rasa mual kadang saja muncul seakan akan mau muntah tetapi tidak hanya rasa saja muncul hilang bergantian setelah makan buka puasa tidak masalah lagi suwun,0,TRAIN,v1.0.0,2019-08-23 17:00:00
ff528a62-0a78-4919-a1f8-1e76593aa2fc,aplikasi yang the best,0,TRAIN,v1.0.0,2019-08-23 17:00:00
487b029c-de63-49e1-9db2-12ec6b95b255,saranghaeyo dokter,0,TRAIN,v1.0.0,2019-08-23 17:00:00
